GKZ;Gebietsname;Wahlberechtigte;Abgegebene;Ungültige;Gültige;Hofer;%;Van der Bellen;%
G30101;Krems an der Donau;18.251;12.564;463;12.101;5.545;45,82;6.556;54,18
G30199;Wahlkarten - Krems an der Donau(Stadt);0;1.518;23;1.495;417;27,89;1.078;72,11
G30200;Sankt Pölten(Stadt);39.252;29.973;981;28.992;11.967;41,28;17.025;58,72
G30201;St. Pölten;39.252;26.301;895;25.406;10.919;42,98;14.487;57,02
G30299;Wahlkarten - Sankt Pölten(Stadt);0;3.672;86;3.586;1.048;29,22;2.538;70,78
G30300;Waidhofen an der Ybbs(Stadt);9.018;7.249;341;6.908;2.990;43,28;3.918;56,72
G30301;Waidhofen an der Ybbs;9.018;6.451;324;6.127;2.760;45,05;3.367;54,95
G30399;Wahlkarten - Waidhofen an der Ybbs(Stadt);0;798;17;781;230;29,45;551;70,55
G30400;Wiener Neustadt(Stadt);31.146;22.947;603;22.344;10.745;48,09;11.599;51,91
G30401;Wiener Neustadt;31.146;20.639;550;20.089;9.936;49,46;10.153;50,54
G30499;Wahlkarten - Wiener Neustadt(Stadt);0;2.308;53;2.255;809;35,88;1.446;64,12
G30500;Amstetten;90.396;72.654;3.560;69.094;33.296;48,19;35.798;51,81
G30501;Allhartsberg;1.658;1.326;78;1.248;592;47,44;656;52,56
G30502;Amstetten;17.579;12.301;504;11.797;5.873;49,78;5.924;50,22
G30503;Ardagger;2.753;2.112;130;1.982;1.074;54,19;908;45,81
G30504;Aschbach-Markt;2.903;2.090;118;1.972;1.035;52,48;937;47,52
G30506;Behamberg;2.653;2.116;106;2.010;949;47,21;1.061;52,79
G30507;Biberbach;1.827;1.403;74;1.329;623;46,88;706;53,12
G30508;Ennsdorf;2.284;1.612;56;1.556;709;45,57;847;54,43
G30509;Ernsthofen;1.785;1.270;68;1.202;575;47,84;627;52,16
G30510;Ertl;1.017;749;74;675;430;63,70;245;36,30
G30511;Euratsfeld;2.079;1.670;101;1.569;844;53,79;725;46,21
G30512;Ferschnitz;1.420;1.092;69;1.023;581;56,79;442;43,21
G30514;Haag;4.433;2.996;147;2.849;1.261;44,26;1.588;55,74
G30515;Haidershofen;2.955;2.264;107;2.157;922;42,74;1.235;57,26
G30516;Hollenstein an der Ybbs;1.371;1.008;42;966;480;49,69;486;50,31
G30517;Kematen an der Ybbs;1.955;1.412;82;1.330;693;52,11;637;47,89
G30520;Neuhofen an der Ybbs;2.249;1.632;96;1.536;894;58,20;642;41,80
G30521;Neustadtl an der Donau;1.709;1.344;106;1.238;795;64,22;443;35,78
G30522;Oed-Oehling;1.488;1.058;54;1.004;540;53,78;464;46,22
G30524;Opponitz;707;534;26;508;255;50,20;253;49,80
G30526;St. Georgen am Reith;443;315;16;299;176;58,86;123;41,14
G30527;St. Georgen am Ybbsfelde;2.215;1.593;97;1.496;809;54,08;687;45,92
G30529;St. Pantaleon-Erla;2.085;1.507;81;1.426;722;50,63;704;49,37
G30530;St. Peter in der Au;4.101;3.012;141;2.871;1.401;48,80;1.470;51,20
G30531;St. Valentin;7.494;5.392;252;5.140;2.233;43,44;2.907;56,56
G30532;Seitenstetten;2.615;1.985;103;1.882;903;47,98;979;52,02
G30533;Sonntagberg;3.165;2.237;98;2.139;979;45,77;1.160;54,23
G30534;Strengberg;1.625;1.118;75;1.043;491;47,08;552;52,92
G30536;Viehdorf;1.072;819;45;774;439;56,72;335;43,28
G30538;Wallsee-Sindelburg;1.741;1.139;51;1.088;531;48,81;557;51,19
G30539;Weistrach;1.779;1.281;67;1.214;635;52,31;579;47,69
G30541;Winklarn;1.293;1.019;60;959;508;52,97;451;47,03
G30542;Wolfsbach;1.583;1.128;76;1.052;571;54,28;481;45,72
G30543;Ybbsitz;2.875;2.169;107;2.062;1.042;50,53;1.020;49,47
G30544;Zeillern;1.485;1.068;63;1.005;558;55,52;447;44,48
G30599;Wahlkarten - Amstetten;0;6.883;190;6.693;2.173;32,47;4.520;67,53
G30600;Baden;106.084;83.750;2.791;80.959;38.611;47,69;42.348;52,31
G30601;Alland;1.989;1.368;49;1.319;769;58,30;550;41,70
G30602;Altenmarkt an der Triesting;1.538;1.155;71;1.084;607;56,00;477;44,00
G30603;Bad Vöslau;8.664;6.087;224;5.863;2.440;41,62;3.423;58,38
G30604;Baden;18.940;12.958;367;12.591;4.852;38,54;7.739;61,46
G30605;Berndorf;6.509;4.382;184;4.198;2.123;50,57;2.075;49,43
G30607;Ebreichsdorf;7.894;5.685;156;5.529;2.963;53,59;2.566;46,41
G30608;Enzesfeld-Lindabrunn;3.265;2.368;88;2.280;1.170;51,32;1.110;48,68
G30609;Furth an der Triesting;672;486;29;457;261;57,11;196;42,89
G30612;Günselsdorf;1.319;979;36;943;566;60,02;377;39,98
G30613;Heiligenkreuz;1.106;861;27;834;403;48,32;431;51,68
G30614;Hernstein;1.254;1.017;70;947;505;53,33;442;46,67
G30615;Hirtenberg;1.656;1.165;32;1.133;623;54,99;510;45,01
G30616;Klausen-Leopoldsdorf;1.298;902;34;868;517;59,56;351;40,44
G30618;Kottingbrunn;5.652;4.127;141;3.986;2.004;50,28;1.982;49,72
G30620;Leobersdorf;3.588;2.634;103;2.531;1.302;51,44;1.229;48,56
G30621;Mitterndorf an der Fischa;1.791;1.241;38;1.203;726;60,35;477;39,65
G30623;Oberwaltersdorf;3.241;2.287;62;2.225;1.063;47,78;1.162;52,22
G30625;Pfaffstätten;2.589;2.016;62;1.954;720;36,85;1.234;63,15
G30626;Pottendorf;5.148;3.641;110;3.531;1.946;55,11;1.585;44,89
G30627;Pottenstein;2.157;1.492;58;1.434;675;47,07;759;52,93
G30629;Reisenberg;1.274;937;39;898;553;61,58;345;38,42
G30631;Schönau an der Triesting;1.598;1.151;56;1.095;590;53,88;505;46,12
G30633;Seibersdorf;1.164;867;36;831;483;58,12;348;41,88
G30635;Sooß;799;602;29;573;292;50,96;281;49,04
G30636;Tattendorf;1.071;821;29;792;407;51,39;385;48,61
G30637;Teesdorf;1.406;1.101;39;1.062;519;48,87;543;51,13
G30639;Traiskirchen;13.219;9.837;332;9.505;4.720;49,66;4.785;50,34
G30641;Trumau;2.598;1.948;66;1.882;942;50,05;940;49,95
G30645;Weissenbach an der Triesting;1.292;962;37;925;502;54,27;423;45,73
G30646;Blumau-Neurißhof;1.393;1.005;22;983;624;63,48;359;36,52
G30699;Wahlkarten - Baden;0;7.668;165;7.503;2.744;36,57;4.759;63,43
G30700;Bruck an der Leitha;33.105;26.499;990;25.509;13.808;54,13;11.701;45,87
G30701;Au am Leithaberge;773;576;18;558;370;66,31;188;33,69
G30702;Bad Deutsch-Altenburg;1.197;835;28;807;517;64,06;290;35,94
G30703;Berg;505;392;18;374;196;52,41;178;47,59
G30704;Bruck an der Leitha;5.914;4.153;139;4.014;2.073;51,64;1.941;48,36
G30706;Enzersdorf an der Fischa;2.526;1.887;64;1.823;959;52,61;864;47,39
G30708;Göttlesbrunn-Arbesthal;1.109;821;37;784;483;61,61;301;38,39
G30709;Götzendorf an der Leitha;1.525;1.182;67;1.115;523;46,91;592;53,09
G30710;Hainburg a.d. Donau;3.770;2.576;76;2.500;1.454;58,16;1.046;41,84
G30711;Haslau-Maria Ellend;1.456;1.087;35;1.052;539;51,24;513;48,76
G30712;Höflein;995;754;41;713;430;60,31;283;39,69
G30713;Hof am Leithaberge;1.181;936;34;902;554;61,42;348;38,58
G30715;Hundsheim;456;353;12;341;194;56,89;147;43,11
G30716;Mannersdorf am Leithagebirge;2.969;2.191;93;2.098;1.037;49,43;1.061;50,57
G30718;Petronell-Carnuntum;982;726;28;698;361;51,72;337;48,28
G30719;Prellenkirchen;1.166;853;43;810;531;65,56;279;34,44
G30721;Rohrau;1.228;882;43;839;458;54,59;381;45,41
G30722;Scharndorf;909;699;26;673;345;51,26;328;48,74
G30724;Sommerein;1.582;1.179;36;1.143;662;57,92;481;42,08
G30726;Trautmannsdorf an der Leitha;2.293;1.661;75;1.586;839;52,90;747;47,10
G30728;Wolfsthal;569;419;25;394;245;62,18;149;37,82
G30799;Wahlkarten - Bruck an der Leitha;0;2.337;52;2.285;1.038;45,43;1.247;54,57
G30800;Gänserndorf;77.063;60.088;2.200;57.888;31.858;55,03;26.030;44,97
G30801;Aderklaa;142;101;7;94;49;52,13;45;47,87
G30802;Andlersdorf;106;85;2;83;25;30,12;58;69,88
G30803;Angern an der March;2.553;1.864;64;1.800;1.007;55,94;793;44,06
G30804;Auersthal;1.486;1.146;68;1.078;447;41,47;631;58,53
G30805;Bad Pirawarth;1.336;944;57;887;452;50,96;435;49,04
G30808;Deutsch-Wagram;6.355;4.511;150;4.361;2.271;52,08;2.090;47,92
G30810;Drösing;949;649;31;618;361;58,41;257;41,59
G30811;Dürnkrut;1.809;1.281;45;1.236;755;61,08;481;38,92
G30812;Ebenthal;690;529;15;514;307;59,73;207;40,27
G30813;Eckartsau;971;697;13;684;447;65,35;237;34,65
G30814;Engelhartstetten;1.546;1.151;50;1.101;715;64,94;386;35,06
G30817;Gänserndorf;7.970;5.352;133;5.219;2.662;51,01;2.557;48,99
G30819;Glinzendorf;206;156;6;150;88;58,67;62;41,33
G30821;Groß-Enzersdorf;8.084;5.692;186;5.506;2.835;51,49;2.671;48,51
G30822;Großhofen;62;55;6;49;32;65,31;17;34,69
G30824;Groß-Schweinbarth;994;734;52;682;345;50,59;337;49,41
G30825;Haringsee;934;658;28;630;346;54,92;284;45,08
G30826;Hauskirchen;1.015;711;33;678;416;61,36;262;38,64
G30827;Hohenau an der March;2.161;1.505;49;1.456;867;59,55;589;40,45
G30828;Hohenruppersdorf;757;562;43;519;269;51,83;250;48,17
G30829;Jedenspeigen;905;655;37;618;317;51,29;301;48,71
G30830;Lassee;2.048;1.487;65;1.422;949;66,74;473;33,26
G30831;Leopoldsdorf im Marchfelde;2.031;1.532;36;1.496;868;58,02;628;41,98
G30834;Mannsdorf an der Donau;275;201;7;194;104;53,61;90;46,39
G30835;Marchegg;2.107;1.524;48;1.476;880;59,62;596;40,38
G30836;Markgrafneusiedl;676;495;21;474;266;56,12;208;43,88
G30838;Matzen-Raggendorf;2.121;1.598;71;1.527;837;54,81;690;45,19
G30841;Neusiedl an der Zaya;1.032;732;37;695;437;62,88;258;37,12
G30842;Obersiebenbrunn;1.299;877;20;857;527;61,49;330;38,51
G30844;Orth an der Donau;1.603;1.036;43;993;582;58,61;411;41,39
G30845;Palterndorf-Dobermannsdorf;1.048;760;20;740;472;63,78;268;36,22
G30846;Parbasdorf;130;93;11;82;41;50,00;41;50,00
G30848;Prottes;1.096;758;20;738;404;54,74;334;45,26
G30849;Raasdorf;426;330;18;312;168;53,85;144;46,15
G30850;Ringelsdorf-Niederabsdorf;1.073;755;32;723;401;55,46;322;44,54
G30852;Schönkirchen-Reyersdorf;1.516;1.117;48;1.069;618;57,81;451;42,19
G30854;Spannberg;795;606;33;573;396;69,11;177;30,89
G30856;Strasshof an der Nordbahn;7.035;4.921;125;4.796;2.626;54,75;2.170;45,25
G30857;Sulz im Weinviertel;995;740;39;701;428;61,06;273;38,94
G30858;Untersiebenbrunn;1.333;960;25;935;612;65,45;323;34,55
G30859;Velm-Götzendorf;625;498;25;473;287;60,68;186;39,32
G30860;Weikendorf;1.562;1.097;47;1.050;543;51,71;507;48,29
G30863;Zistersdorf;4.458;3.162;184;2.978;1.802;60,51;1.176;39,49
G30865;Weiden an der March;748;536;34;502;306;60,96;196;39,04
G30899;Wahlkarten - Gänserndorf;0;5.235;116;5.119;2.291;44,75;2.828;55,25
G30900;Gmünd;31.130;23.969;1.114;22.855;12.083;52,87;10.772;47,13
G30902;Amaliendorf-Aalfang;923;633;34;599;342;57,10;257;42,90
G30903;Brand-Nagelberg;1.355;937;51;886;485;54,74;401;45,26
G30904;Eggern;572;407;20;387;250;64,60;137;35,40
G30906;Eisgarn;579;392;20;372;209;56,18;163;43,82
G30908;Gmünd;4.373;2.813;111;2.702;1.328;49,15;1.374;50,85
G30909;Großdietmanns;1.876;1.339;74;1.265;733;57,94;532;42,06
G30910;Bad Großpertholz;1.140;778;41;737;411;55,77;326;44,23
G30912;Großschönau;1.010;755;61;694;404;58,21;290;41,79
G30913;Moorbad Harbach;585;421;26;395;208;52,66;187;47,34
G30915;Haugschlag;390;288;9;279;177;63,44;102;36,56
G30916;Heidenreichstein;3.437;2.229;81;2.148;1.155;53,77;993;46,23
G30917;Hirschbach;493;392;9;383;185;48,30;198;51,70
G30920;Hoheneich;1.197;844;48;796;373;46,86;423;53,14
G30921;Kirchberg am Walde;1.104;761;44;717;439;61,23;278;38,77
G30925;Litschau;1.964;1.277;54;1.223;688;56,26;535;43,74
G30929;Reingers;539;388;13;375;249;66,40;126;33,60
G30932;St. Martin;946;633;28;605;354;58,51;251;41,49
G30935;Schrems;4.517;2.943;145;2.798;1.500;53,61;1.298;46,39
G30939;Unserfrau-Altweitra;836;590;43;547;321;58,68;226;41,32
G30940;Waldenstein;994;713;60;653;365;55,90;288;44,10
G30942;Weitra;2.300;1.511;66;1.445;725;50,17;720;49,83
G30999;Wahlkarten - Gmünd;0;2.925;76;2.849;1.182;41,49;1.667;58,51
G31000;Hollabrunn;41.370;32.620;1.683;30.937;16.350;52,85;14.587;47,15
G31001;Alberndorf im Pulkautal;631;446;25;421;253;60,10;168;39,90
G31008;Göllersdorf;2.306;1.711;98;1.613;861;53,38;752;46,62
G31009;Grabern;1.207;918;64;854;481;56,32;373;43,68
G31014;Guntersdorf;930;716;56;660;374;56,67;286;43,33
G31015;Hadres;1.417;1.019;62;957;562;58,73;395;41,27
G31016;Hardegg;1.104;846;52;794;478;60,20;316;39,80
G31018;Haugsdorf;1.333;945;48;897;525;58,53;372;41,47
G31019;Heldenberg;1.027;728;46;682;358;52,49;324;47,51
G31021;Hohenwarth-Mühlbach a.M.;1.056;785;32;753;441;58,57;312;41,43
G31022;Hollabrunn;9.119;6.519;272;6.247;3.200;51,22;3.047;48,78
G31025;Mailberg;463;318;22;296;191;64,53;105;35,47
G31026;Maissau;1.641;1.154;68;1.086;586;53,96;500;46,04
G31028;Nappersdorf-Kammersdorf;1.039;744;43;701;423;60,34;278;39,66
G31033;Pernersdorf;847;623;40;583;342;58,66;241;41,34
G31035;Pulkau;1.275;866;48;818;405;49,51;413;50,49
G31036;Ravelsbach;1.332;911;53;858;492;57,34;366;42,66
G31037;Retz;3.628;2.320;116;2.204;1.138;51,63;1.066;48,37
G31038;Retzbach;827;625;42;583;305;52,32;278;47,68
G31041;Schrattenthal;708;513;29;484;199;41,12;285;58,88
G31042;Seefeld-Kadolz;781;530;21;509;316;62,08;193;37,92
G31043;Sitzendorf an der Schmida;1.786;1.286;72;1.214;622;51,24;592;48,76
G31051;Wullersdorf;1.994;1.436;74;1.362;847;62,19;515;37,81
G31052;Zellerndorf;2.085;1.536;87;1.449;728;50,24;721;49,76
G31053;Ziersdorf;2.834;2.013;124;1.889;985;52,14;904;47,86
G31099;Wahlkarten - Hollabrunn;0;3.112;89;3.023;1.238;40,95;1.785;59,05
G31100;Horn;25.877;20.531;1.073;19.458;10.473;53,82;8.985;46,18
G31101;Altenburg;669;477;21;456;267;58,55;189;41,45
G31102;Brunn an der Wild;689;507;31;476;290;60,92;186;39,08
G31103;Burgschleinitz-Kühnring;1.136;844;39;805;486;60,37;319;39,63
G31104;Drosendorf-Zissersdorf;1.005;736;32;704;454;64,49;250;35,51
G31105;Eggenburg;2.882;1.887;100;1.787;860;48,13;927;51,87
G31106;Gars am Kamp;2.955;2.122;106;2.016;1.047;51,93;969;48,07
G31107;Geras;1.120;818;56;762;472;61,94;290;38,06
G31109;Horn;5.251;3.404;172;3.232;1.684;52,10;1.548;47,90
G31110;Irnfritz-Messern;1.180;715;46;669;435;65,02;234;34,98
G31111;Japons;601;441;26;415;276;66,51;139;33,49
G31113;Langau;588;443;27;416;200;48,08;216;51,92
G31114;Meiseldorf;769;526;23;503;270;53,68;233;46,32
G31117;Pernegg;621;501;25;476;290;60,92;186;39,08
G31119;Röhrenbach;440;333;25;308;189;61,36;119;38,64
G31120;Röschitz;886;653;46;607;336;55,35;271;44,65
G31121;Rosenburg-Mold;663;457;32;425;266;62,59;159;37,41
G31123;St. Bernhard-Frauenhofen;1.050;779;49;730;426;58,36;304;41,64
G31124;Sigmundsherberg;1.408;1.006;50;956;501;52,41;455;47,59
G31129;Weitersfeld;1.343;999;90;909;538;59,19;371;40,81
G31130;Straning-Grafenberg;621;433;23;410;223;54,39;187;45,61
G31199;Wahlkarten - Horn;0;2.450;54;2.396;963;40,19;1.433;59,81
G31200;Korneuburg;60.653;49.221;1.886;47.335;21.355;45,11;25.980;54,89
G31201;Bisamberg;3.610;2.662;103;2.559;877;34,27;1.682;65,73
G31202;Enzersfeld im Weinviertel;1.373;1.036;51;985;500;50,76;485;49,24
G31203;Ernstbrunn;2.606;1.833;88;1.745;975;55,87;770;44,13
G31204;Großmugl;1.291;930;58;872;458;52,52;414;47,48
G31205;Großrußbach;1.717;1.276;62;1.214;642;52,88;572;47,12
G31206;Hagenbrunn;1.613;1.200;39;1.161;581;50,04;580;49,96
G31207;Harmannsdorf;3.182;2.417;98;2.319;1.091;47,05;1.228;52,95
G31208;Hausleiten;2.919;2.131;84;2.047;1.149;56,13;898;43,87
G31213;Korneuburg;9.417;6.606;216;6.390;2.679;41,92;3.711;58,08
G31214;Langenzersdorf;6.461;4.741;170;4.571;1.768;38,68;2.803;61,32
G31215;Leitzersdorf;982;742;33;709;387;54,58;322;45,42
G31216;Leobendorf;3.836;2.789;109;2.680;1.152;42,99;1.528;57,01
G31224;Rußbach;1.139;863;58;805;487;60,50;318;39,50
G31226;Sierndorf;3.083;2.285;113;2.172;1.165;53,64;1.007;46,36
G31227;Spillern;1.697;1.225;49;1.176;537;45,66;639;54,34
G31228;Stetteldorf am Wagram;844;636;40;596;353;59,23;243;40,77
G31229;Stetten;1.074;808;29;779;373;47,88;406;52,12
G31230;Stockerau;12.593;8.695;312;8.383;3.941;47,01;4.442;52,99
G31234;Niederhollabrunn;1.216;931;53;878;476;54,21;402;45,79
G31299;Wahlkarten - Korneuburg;0;5.415;121;5.294;1.764;33,32;3.530;66,68
G31300;Krems(Land);46.279;37.969;1.827;36.142;18.302;50,64;17.840;49,36
G31301;Aggsbach;559;396;13;383;188;49,09;195;50,91
G31302;Albrechtsberg an der Großen Krems;880;658;35;623;341;54,74;282;45,26
G31303;Bergern im Dunkelsteinerwald;1.049;804;47;757;424;56,01;333;43,99
G31304;Dürnstein;733;544;48;496;208;41,94;288;58,06
G31308;Grafenegg;2.466;1.903;93;1.810;886;48,95;924;51,05
G31309;Furth bei Göttweig;2.355;1.737;80;1.657;705;42,55;952;57,45
G31310;Gedersdorf;1.731;1.343;61;1.282;691;53,90;591;46,10
G31311;Gföhl;3.127;2.245;115;2.130;1.275;59,86;855;40,14
G31315;Hadersdorf-Kammern;1.609;1.200;45;1.155;610;52,81;545;47,19
G31319;Jaidhof;945;726;39;687;381;55,46;306;44,54
G31321;Krumau am Kamp;637;436;23;413;271;65,62;142;34,38
G31322;Langenlois;6.161;4.549;221;4.328;2.187;50,53;2.141;49,47
G31323;Lengenfeld;1.160;907;35;872;465;53,33;407;46,67
G31324;Lichtenau im Waldviertel;1.717;1.254;59;1.195;809;67,70;386;32,30
G31326;Maria Laach am Jauerling;762;527;47;480;265;55,21;215;44,79
G31327;Mautern an der Donau;2.900;2.089;101;1.988;902;45,37;1.086;54,63
G31330;Mühldorf;1.146;850;50;800;410;51,25;390;48,75
G31333;Paudorf;2.083;1.558;65;1.493;720;48,23;773;51,77
G31336;Rastenfeld;1.248;923;61;862;572;66,36;290;33,64
G31337;Rohrendorf bei Krems;1.602;1.212;47;1.165;542;46,52;623;53,48
G31338;Rossatz-Arnsdorf;901;656;23;633;260;41,07;373;58,93
G31340;St. Leonhard am Hornerwald;959;714;52;662;425;64,20;237;35,80
G31343;Senftenberg;1.585;1.122;61;1.061;525;49,48;536;50,52
G31344;Spitz;1.345;1.025;63;962;509;52,91;453;47,09
G31346;Straß im Straßertale;1.293;973;43;930;448;48,17;482;51,83
G31347;Stratzing;701;535;24;511;230;45,01;281;54,99
G31350;Weinzierl am Walde;1.063;778;49;729;517;70,92;212;29,08
G31351;Weißenkirchen in der Wachau;1.215;882;44;838;316;37,71;522;62,29
G31355;Schönberg am Kamp;1.562;1.218;57;1.161;593;51,08;568;48,92
G31356;Droß;785;614;34;580;288;49,66;292;50,34
G31399;Wahlkarten - Krems(Land);0;3.591;92;3.499;1.339;38,27;2.160;61,73
G31400;Lilienfeld;20.439;16.542;815;15.727;8.145;51,79;7.582;48,21
G31401;Annaberg;453;292;16;276;132;47,83;144;52,17
G31402;Eschenau;1.046;753;48;705;394;55,89;311;44,11
G31403;Hainfeld;2.917;2.066;73;1.993;1.127;56,55;866;43,45
G31404;Hohenberg;1.229;915;44;871;447;51,32;424;48,68
G31405;Kaumberg;815;599;35;564;338;59,93;226;40,07
G31406;Kleinzell;679;494;31;463;327;70,63;136;29,37
G31407;Lilienfeld;2.067;1.440;49;1.391;631;45,36;760;54,64
G31408;Mitterbach am Erlaufsee;420;278;25;253;153;60,47;100;39,53
G31409;Ramsau;644;480;16;464;276;59,48;188;40,52
G31410;Rohrbach an der Gölsen;1.292;994;58;936;472;50,43;464;49,57
G31411;St. Aegyd am Neuwalde;1.610;1.109;77;1.032;569;55,14;463;44,86
G31412;St. Veit an der Gölsen;3.125;2.370;134;2.236;1.177;52,64;1.059;47,36
G31413;Traisen;2.554;1.819;73;1.746;883;50,57;863;49,43
G31414;Türnitz;1.588;1.165;78;1.087;611;56,21;476;43,79
G31499;Wahlkarten - Lilienfeld;0;1.768;58;1.710;608;35,56;1.102;64,44
G31500;Melk;61.750;48.764;2.353;46.411;25.031;53,93;21.380;46,07
G31502;Artstetten-Pöbring;972;676;43;633;339;53,55;294;46,45
G31503;Bergland;1.519;1.116;67;1.049;641;61,11;408;38,89
G31504;Bischofstetten;940;722;37;685;380;55,47;305;44,53
G31505;Blindenmarkt;1.968;1.448;53;1.395;901;64,59;494;35,41
G31506;Dorfstetten;472;345;22;323;226;69,97;97;30,03
G31507;Dunkelsteinerwald;1.937;1.432;86;1.346;847;62,93;499;37,07
G31508;Erlauf;859;649;33;616;335;54,38;281;45,62
G31509;Golling an der Erlauf;1.192;817;35;782;463;59,21;319;40,79
G31511;Hofamt Priel;1.393;962;36;926;487;52,59;439;47,41
G31513;Hürm;1.457;1.062;73;989;610;61,68;379;38,32
G31514;Kilb;2.080;1.569;74;1.495;806;53,91;689;46,09
G31515;Kirnberg an der Mank;849;706;39;667;408;61,17;259;38,83
G31516;Klein-Pöchlarn;816;568;24;544;278;51,10;266;48,90
G31517;Krummnußbaum;1.196;787;21;766;366;47,78;400;52,22
G31519;Leiben;1.107;741;34;707;427;60,40;280;39,60
G31520;Loosdorf;3.045;2.070;102;1.968;1.054;53,56;914;46,44
G31521;Mank;2.548;1.844;111;1.733;873;50,38;860;49,62
G31522;Marbach an der Donau;1.327;906;45;861;532;61,79;329;38,21
G31523;Maria Taferl;700;536;30;506;283;55,93;223;44,07
G31524;Melk;4.045;2.817;110;2.707;1.235;45,62;1.472;54,38
G31525;Münichreith-Laimbach;1.376;957;44;913;634;69,44;279;30,56
G31527;Neumarkt an der Ybbs;1.520;1.056;36;1.020;587;57,55;433;42,45
G31528;Nöchling;838;624;35;589;310;52,63;279;47,37
G31530;Persenbeug-Gottsdorf;1.816;1.209;53;1.156;589;50,95;567;49,05
G31531;Petzenkirchen;1.020;719;41;678;385;56,78;293;43,22
G31533;Pöchlarn;3.030;1.922;100;1.822;939;51,54;883;48,46
G31534;Pöggstall;2.013;1.407;52;1.355;848;62,58;507;37,42
G31535;Raxendorf;876;664;50;614;403;65,64;211;34,36
G31537;Ruprechtshofen;1.818;1.373;79;1.294;774;59,81;520;40,19
G31539;St. Leonhard am Forst;2.502;1.809;82;1.727;1.032;59,76;695;40,24
G31540;St. Martin-Karlsbach;1.410;1.039;65;974;529;54,31;445;45,69
G31541;St. Oswald;896;596;51;545;314;57,61;231;42,39
G31542;Schönbühel-Aggsbach;855;604;31;573;300;52,36;273;47,64
G31543;Schollach;792;592;29;563;318;56,48;245;43,52
G31546;Weiten;892;554;42;512;313;61,13;199;38,87
G31549;Ybbs an der Donau;4.299;2.828;126;2.702;1.365;50,52;1.337;49,48
G31550;Zelking-Matzleinsdorf;1.036;769;40;729;335;45,95;394;54,05
G31551;Texingtal;1.274;953;59;894;452;50,56;442;49,44
G31552;Yspertal;1.651;1.071;60;1.011;609;60,24;402;39,76
G31553;Emmersdorf an der Donau;1.414;911;49;862;442;51,28;420;48,72
G31599;Wahlkarten - Melk;0;5.334;154;5.180;2.062;39,81;3.118;60,19
G31600;Mistelbach;60.815;49.252;2.325;46.927;25.261;53,83;21.666;46,17
G31601;Altlichtenwarth;643;431;26;405;272;67,16;133;32,84
G31603;Asparn an der Zaya;1.425;1.052;51;1.001;642;64,14;359;35,86
G31604;Bernhardsthal;1.347;946;43;903;568;62,90;335;37,10
G31605;Bockfließ;1.078;799;44;755;362;47,95;393;52,05
G31606;Drasenhofen;884;669;25;644;422;65,53;222;34,47
G31608;Falkenstein;390;311;10;301;134;44,52;167;55,48
G31609;Fallbach;687;500;28;472;222;47,03;250;52,97
G31611;Gaubitsch;744;585;51;534;331;61,99;203;38,01
G31612;Gaweinstal;3.049;2.188;99;2.089;1.283;61,42;806;38,58
G31613;Gnadendorf;957;698;52;646;350;54,18;296;45,82
G31614;Großebersdorf;1.798;1.355;61;1.294;758;58,58;536;41,42
G31615;Großengersdorf;1.140;920;40;880;467;53,07;413;46,93
G31616;Großharras;966;697;39;658;394;59,88;264;40,12
G31617;Großkrut;1.334;1.007;64;943;575;60,98;368;39,02
G31620;Hausbrunn;701;525;23;502;329;65,54;173;34,46
G31621;Herrnbaumgarten;783;550;24;526;325;61,79;201;38,21
G31622;Hochleithen;950;707;36;671;352;52,46;319;47,54
G31627;Kreuttal;1.166;888;38;850;406;47,76;444;52,24
G31628;Kreuzstetten;1.283;959;48;911;426;46,76;485;53,24
G31629;Laa an der Thaya;5.114;3.746;172;3.574;1.999;55,93;1.575;44,07
G31630;Ladendorf;1.879;1.380;62;1.318;709;53,79;609;46,21
G31633;Mistelbach;9.181;6.483;256;6.227;3.177;51,02;3.050;48,98
G31634;Neudorf bei Staatz;1.161;841;39;802;534;66,58;268;33,42
G31636;Niederleis;724;523;22;501;264;52,69;237;47,31
G31642;Pillichsdorf;936;752;27;725;340;46,90;385;53,10
G31644;Poysdorf;4.394;3.151;205;2.946;1.696;57,57;1.250;42,43
G31645;Rabensburg;909;610;24;586;394;67,24;192;32,76
G31646;Schrattenberg;663;447;21;426;290;68,08;136;31,92
G31649;Staatz;1.667;1.219;83;1.136;713;62,76;423;37,24
G31650;Stronsdorf;1.364;1.040;64;976;639;65,47;337;34,53
G31651;Ulrichskirchen-Schleinbach;2.083;1.599;72;1.527;739;48,40;788;51,60
G31652;Unterstinkenbrunn;472;347;15;332;207;62,35;125;37,65
G31653;Wildendürnbach;1.274;909;61;848;542;63,92;306;36,08
G31654;Wilfersdorf;1.735;1.333;68;1.265;758;59,92;507;40,08
G31655;Wolkersdorf im Weinviertel;5.437;4.151;186;3.965;1.536;38,74;2.429;61,26
G31658;Ottenthal;497;370;25;345;210;60,87;135;39,13
G31699;Wahlkarten - Mistelbach;0;4.564;121;4.443;1.896;42,67;2.547;57,33
G31700;Mödling;89.208;73.341;2.185;71.156;25.674;36,08;45.482;63,92
G31701;Achau;1.068;796;33;763;343;44,95;420;55,05
G31702;Biedermannsdorf;2.303;1.695;58;1.637;647;39,52;990;60,48
